Sitio,Parcela,Data,ID,Especie,Numero de flores,Altura,X,Angulo,Y,Interacao,Horario,Frequencia,Comportamento beija-flor
Modulo Cachoeira,3,11/5/2014,24928,Nidularium innocentii,1,1.4,2.2,NA,8.25,Ramphodon naevius ,11:45,4,Trapliner
Modulo Cachoeira,7,11/6/2014,24946,Nidularium innocentii,1,5,104.5,NA,7.28,Ramphodon naevius ,11:44,1,Trapliner
Modulo Cachoeira,7,11/6/2014,24947,Nidularium innocentii,2,1.58,198.2,NA,6.5,Thalurania glaucopis,NA,1,Trapliner
Modulo Cachoeira,7,11/6/2014,24948,Nidularium innocentii,1,3.2,247.54,NA,NA,Thalurania glaucopis ,NA,1,Trapliner
Modulo Cachoeira,7,11/6/2014,24949,Nidularium innocentii,3,0.7,246.75,NA,2.5,Thalurania glaucopis,10:44,3,Trapliner
Modulo Cachoeira,2,11/7/2014,24956,Aechmea nudicaulis,5,10,19.9,NA,19.36,Thalurania glaucopis ,10:30,3,Trapliner
Modulo Cachoeira,2,11/7/2014,24956,Aechmea nudicaulis,5,10,19.9,NA,19.36,Thalurania glaucopis,10:40,1,Trapliner
Modulo Cachoeira,2,11/7/2014,24953,Aechmea nudicaulis,11,12,154.8,NA,13.8,Thalurania glaucopis,NA,1,Trapliner
Modulo Cachoeira,9,11/10/2014,24959,Nidularium innocentii,1,4.5,48.9,NA,0.2,Thalurania glaucopis,NA,1,Trapliner
Modulo Cachoeira,9,11/10/2014,24959,Nidularium innocentii,1,4.5,48.85,NA,0.2,Thalurania glaucopis,NA,1,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,12,15,54.7,NA,6,Thalurania glaucopis,NA,1,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Thalurania glaucopis,8:15,5,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Thalurania glaucopis,8:25,3,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Thalurania glaucopis,10:05,2,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Amazilia versicolor ,10:12,3,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Thalurania glaucopis,10:30,4,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Amazilia versicolor ,10:35,3,Trapliner
Modulo Cachoeira,9,11/10/2014,1,Aechmea nudicaulis,10,10,57.8,NA,10,Thalurania glaucopis,10:40,4,Trapliner
