iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,flags
http://rs.rebipp.org.br/ppi/terms/version/Animal-2021-12-03,Animal,Animal,Any attribute of a particular animal or a definied group of animals individuals,,The caste of a bee,,2021-12-03,recommended,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/Animal,simple
http://rs.rebipp.org.br/ppi/terms/version/caste-2021-12-03,caste,Caste,The society division that is specialized in the function it performs and is distinguished by anatomical or morphological features from other individuals of in the society,Recommended best pratices is to use a controlled vocabulary,"`soldier`, `queen `, `worker `",http://rs.rebipp.org.br/ppi/terms/Animal,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/caste,simple
http://rs.rebipp.org.br/ppi/terms/version/Plant-2021-12-03,Plant,Plant,Any attribute of a particular plant or a defined group of plants inviduals,,,http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/Plant,simple
http://rs.rebipp.org.br/ppi/terms/version/antherDehiscenceType-2021-12-03,antherDehiscenceType,Anther Dehiscence Type,The physical mechanism of anther dehiscence (release of the pollen grains),Recommended best practice is to use a controlled vocabulary,"`poricidal`, `longitudinal`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/antherDehiscenceType,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerAbundance-2021-12-03,flowerAbundance,Flower Abundance,The number of open flowers or inflorescences on the plant,If it is an estimate then you should describe the accuracy of the measurement using http://rs.tdwg.org/dwc/terms/measurementAccuracy,"`0`, `30`, `40`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerAbundance,simple
http://rs.rebipp.org.br/ppi/terms/version/floralSymmetry-2021-12-03,floralSymmetry,Floral Symmetry,"The symmetry describing whether, and how, a flower, in particular its perianth, can be divided into two or more identical or mirror-image parts.",Recommended best practice is to use a controlled vocabulary such as the Phenotype and Trait Ontology,"`zygomorphic`, `bilateral`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/floralSymmetry,simple
http://rs.rebipp.org.br/ppi/terms/version/floralSystem-2021-12-03,floralSystem,Floral System,"The system by which bisexual flowers optimize their reproductive success, through mechanisms that promote self- or cross-pollination","It can be a morphological, temporal or movement-based mechanism.
Recommended best practice is to use a controlled vocabulary.","`herkogamy`, `heterostyly`, `stylar dimorphism`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/floralSystem,simple
http://rs.rebipp.org.br/ppi/terms/version/plantHabit-2021-12-03,plantHabit,Plant Habit,"The general appearance, characteristic form, or mode of growth of the plant",,"`tree`, `bush`, `herb`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/plantHabit,simple
http://rs.rebipp.org.br/ppi/terms/version/humanUse-2021-12-03,humanUse,Human Use,"Ways in which species are utilized by people, including cultural use","Recommended best practice is to use a controlled vocabulary.
","`human food `, `animal food`, `medicine`, `ritual`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/humanUse,simple
http://rs.rebipp.org.br/ppi/terms/version/matingSystem-2021-12-03,matingSystem,Mating System,A list (concatenated and separated) of the modes of gene transfer from one generation to the next through sexual reproduction,Recommended best practice is to separate the values in a list with space vertical bar space ( | ) and to use a controlled vocabulary.,"`autogamous`, `xenogamous`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/matingSystem,simple
